Wall time,Step,Value
1512936976.0999427,33286,26.0
1512936977.62816,33299,-6.0
1512936979.776007,33320,-99.0
1512936982.0907934,33341,-32.0
1512937008.7129097,33396,19.0
1512937036.8020818,33459,-82.0
1512937059.8378062,33478,-2.0
1512937059.9430797,33479,-20.0
1512937089.4264083,33564,-100.0
1512937118.4947906,33635,-1.0
1512937173.3924751,33753,77.0
1512937205.9613807,33848,-2.0
1512937233.88203,33912,-16.0
1512937288.516706,34023,-100.0
1512937317.096007,34093,28.0
1512937372.4619608,34208,1.0
1512937373.7210946,34219,2.0
1512937398.1568298,34243,-42.0
1512937429.1231954,34331,-1.0
1512937431.04793,34351,-1.0
1512937512.5174694,34518,100.0
1512937567.2524765,34633,-14.0
1512937594.8722892,34717,-1.0
1512937672.125633,34884,8.0
1512937779.662257,35163,0.0
1512937804.103924,35207,2.0
1512937832.2694726,35293,-1.0
1512937834.0146828,35310,-2.0
1512937858.7308443,35353,-56.0
1512937860.2626102,35368,-83.0
1512937884.728136,35415,-4.0
1512937911.0856247,35481,-1.0
1512937913.616763,35507,-1.0
1512937936.8412766,35545,100.0
1512937937.945158,35555,28.0
1512937939.3663182,35570,1.0
1512937973.8025782,35630,16.0
1512937996.4638705,35654,42.0
1512937998.1496654,35669,63.0
1512938001.2446048,35697,2.0
1512938084.7407343,35902,98.0
1512938105.1956983,35909,2.0
1512938105.2851977,35910,-2.0
1512938106.947887,35927,-82.0
1512938108.639227,35944,-32.0
1512938189.5837622,36152,-5.0
1512938190.251729,36159,-6.0
1512938210.4187007,36165,-1.0
1512938288.1266072,36357,2.0
1512938288.6466174,36362,-82.0
1512938292.2412105,36398,6.0
1512938340.6155703,36486,43.0
1512938342.2888362,36501,31.0
1512938366.5665793,36547,-12.0
1512938398.0641456,36665,2.0
1512938444.7201526,36748,4.0
1512938447.7959464,36780,-45.0
1512938449.4424338,36797,-8.0
1512938499.590295,36906,1.0
1512938522.127865,36936,-15.0
1512938549.3753004,37011,2.0
1512938549.6774366,37014,-63.0
1512938605.5807722,37179,54.0
1512938628.8382518,37218,-2.0
1512938629.00628,37220,1.0
1512938677.9065573,37329,-27.0
1512938729.5984638,37454,1.0
1512938730.6491027,37466,1.0
1512938756.2015905,37523,0.0
1512938758.9556954,37551,2.0
1512938780.2262256,37568,8.0
1512938782.4989145,37592,1.0
1512938859.7558281,37781,-1.0
1512938885.4691684,37841,-12.0
1512938911.3553348,37905,1.0
1512938913.2627418,37925,-1.0
1512938913.566504,37928,1.0
1512938967.1014915,38073,2.0
1512938967.2690446,38075,2.0
1512938987.448544,38081,2.0
1512938991.7755516,38125,11.0
1512939015.831379,38171,2.0
1512939015.9993503,38173,2.0
1512939017.146833,38184,37.0
1512939043.2110596,38248,62.0
1512939069.0562124,38311,100.0
1512939069.8709633,38319,-42.0
1512939071.1805909,38333,-20.0
1512939095.1629763,38378,-2.0
1512939096.900237,38395,-82.0
1512939120.08594,38431,-36.0
1512939172.5162823,38562,-90.0
1512939175.120246,38589,2.0
1512939206.7078626,38613,0.0
1512939207.6580217,38624,1.0
1512939233.2870522,38678,4.0
1512939234.350696,38688,-2.0
1512939262.7369144,38770,67.0
1512939289.011344,38838,80.0
1512939446.820603,39228,-2.0
1512939472.5177128,39290,-2.0
1512939495.5909154,39324,1.0
1512939520.3608792,39373,-27.0
1512939548.214679,39455,2.0
1512939548.3544614,39456,52.0
1512939550.0680578,39474,-4.0
1512939577.145866,39545,43.0
1512939624.1468627,39626,-2.0
1512939650.9968505,39700,-51.0
1512939679.840032,39791,-62.0
1512939680.1216242,39794,1.0
1512939701.7706025,39810,-2.0
1512939702.5309217,39818,6.0
1512939704.174369,39834,5.0
1512939729.5182703,39888,31.0
1512939729.607548,39889,2.0
1512939756.6066024,39963,-6.0
1512939810.70228,40120,1.0
1512939811.121136,40124,-3.0
1512939839.471861,40181,-12.0
1512939886.940666,40263,4.0
1512939891.249769,40305,-4.0
1512939912.4356995,40322,16.0
1512939913.391928,40331,-50.0
1512939995.489039,40572,1.0
1512940041.4867985,40644,75.0
1512940098.022997,40813,0.0
1512940120.372456,40843,94.0
1512940125.5036392,40895,2.0
1512940145.0460773,40896,-2.0
1512940174.490415,40997,2.0
1512940174.9943962,41002,26.0
1512940198.5100718,41044,-2.0
1512940202.850522,41084,-83.0
1512940303.3728387,41309,-10.0
1512940326.2103934,41344,1.0
1512940327.920819,41361,83.0
1512940331.780387,41401,59.0
1512940382.524829,41520,92.0
1512940430.399119,41605,16.0
1512940519.213915,41794,-20.0
1512940624.8116107,42050,82.0
1512940627.6987383,42079,-4.0
1512940729.4727883,42313,2.0
1512940730.8880084,42327,-1.0
1512940756.9778388,42391,-42.0
1512940781.1743355,42440,53.0
1512940783.7333024,42466,-2.0
1512940786.5418458,42493,-1.0
1512940809.9434488,42532,-74.0
1512940837.6755974,42613,-27.0
1512940860.7426286,42646,-2.0
1512940861.2915192,42652,1.0
1512940890.064843,42743,197.0
1512940912.2195587,42768,100.0
1512940988.1310856,42944,1.0
1512940993.8358164,43004,100.0
1512941042.6547487,43096,-40.0
1512941044.274484,43112,-2.0
1512941045.3165383,43122,7.0
1512941069.4400172,43171,-6.0
1512941071.9908948,43195,64.0
1512941094.001586,43219,6.0
1512941096.8298924,43247,100.0
1512941123.5039673,43319,-80.0
1512941146.6926172,43358,-2.0
1512941197.759527,43481,-98.0
1512941198.7647562,43491,-27.0
1512941223.749857,43544,66.0
1512941248.227338,43595,2.0
1512941250.5707517,43619,33.0
1512941251.8835845,43632,61.0
1512941276.8428721,43684,-1.0
1512941304.1113079,43761,2.0
1512941327.0351188,43796,-8.0
1512941328.0216832,43805,-6.0
1512941329.0128355,43814,-83.0
1512941352.0010214,43848,9.0
1512941378.4054656,43915,-37.0
1512941380.3533268,43934,-2.0
1512941403.88447,43977,-1.0
1512941408.051634,44019,-42.0
1512941429.277447,44036,-14.0
1512941458.4802604,44133,-4.0
1512941482.3890274,44178,-2.0
1512941482.6858835,44181,2.0
1512941562.7195735,44391,2.0
1512941564.0985348,44404,0.0
1512941650.4135702,44570,1.0
1512941650.6947632,44573,2.0
1512941652.3020976,44589,-1.0
1512941678.3545504,44650,14.0
1512941701.801785,44681,125.0
1512941702.9030178,44692,-2.0
1512941730.3552318,44765,-1.0
1512941731.5616899,44777,-75.0
1512941731.6534753,44778,-2.0
1512941754.5422359,44807,1.0
1512941835.4078019,45027,41.0
1512941860.7348204,45085,7.0
1512941941.5567756,45279,-21.0
1512941966.0355387,45327,-16.0
1512941995.7346978,45428,-33.0
1512941995.813232,45429,-1.0
1512942019.187434,45466,-2.0
1512942020.539354,45479,2.0
1512942072.4255033,45608,-2.0
1512942098.6135905,45672,-14.0
1512942098.7139318,45673,-6.0
1512942121.3907351,45706,-2.0
1512942123.4298446,45726,-2.0
1512942125.4348867,45749,100.0
1512942225.392944,45964,-2.0
1512942252.4490259,46033,2.0
1512942282.9260523,46142,-2.0
1512942307.9807673,46196,-3.0
1512942328.8266678,46211,-16.0
1512942355.5067139,46283,53.0
1512942356.1983473,46290,60.0
1512942356.2974072,46291,80.0
1512942356.9955199,46298,-100.0
1512942385.8168073,46388,-2.0
1512942386.5659127,46395,2.0
1512942411.609386,46448,1.0
1512942413.0561507,46462,42.0
1512942434.7807941,46483,-4.0
1512942435.1115203,46486,0.0
1512942458.9411552,46531,2.0
1512942464.5459323,46587,0.0
1512942488.3699293,46631,13.0
1512942511.217968,46664,-2.0
1512942617.6685386,46954,-2.0
1512942692.9777439,47123,2.0
1512942694.8703828,47142,-77.0
1512942697.1542013,47165,2.0
1512942720.3921504,47202,12.0
1512942743.5908759,47239,2.0
1512942824.571546,47467,61.0
1512942911.379948,47626,27.0
1512942993.9513674,47852,1.0
1512943121.7369688,48137,-23.0
1512943202.3214924,48356,98.0
1512943204.6145594,48379,2.0
1512943227.5464618,48412,-2.0
1512943228.35333,48422,-1.0
1512943230.280602,48443,-15.0
1512943306.1283212,48616,21.0
1512943330.0623279,48658,-1.0
1512943332.3421774,48681,-47.0
1512943334.107968,48698,-2.0
1512943358.7656467,48753,-4.0
1512943381.9857187,48787,-4.0
1512943385.0241773,48817,19.0
1512943432.1025634,48898,1.0
1512943433.8748672,48917,-42.0
